date,region,descriptive_house_price,descriptive_monthly_rent,descriptive_gross_yield_pct,model_aligned_observation
2005-01-01,East Midlands,130266.0,543.0,4.837803683597455,True
2005-01-02,East Midlands,131704.0,,,True
2005-01-03,East Midlands,132038.0,,,True
2005-01-04,East Midlands,133495.0,,,True
2005-01-05,East Midlands,135007.0,,,True
2005-01-06,East Midlands,134528.0,,,True
2005-01-07,East Midlands,136194.0,,,True
2005-01-08,East Midlands,137235.0,,,True
2005-01-09,East Midlands,136141.0,,,True
2005-01-10,East Midlands,137315.0,,,True
2005-01-11,East Midlands,137311.0,,,True
2005-01-12,East Midlands,137021.0,,,True
2005-02-01,East Midlands,,544.0,,True
2005-03-01,East Midlands,,544.0,,True
2005-04-01,East Midlands,,545.0,,True
2005-05-01,East Midlands,,545.0,,True
2005-06-01,East Midlands,,545.0,,True
2005-07-01,East Midlands,,546.0,,True
2005-08-01,East Midlands,,546.0,,True
2005-09-01,East Midlands,,547.0,,True
2005-10-01,East Midlands,,547.0,,True
2005-11-01,East Midlands,,548.0,,True
2005-12-01,East Midlands,,548.0,,True
2006-01-01,East Midlands,135237.0,549.0,4.6713976693797985,True
2006-01-02,East Midlands,135594.0,,,True
2006-01-03,East Midlands,136176.0,,,True
2006-01-04,East Midlands,140034.0,,,True
2006-01-05,East Midlands,139736.0,,,True
2006-01-06,East Midlands,140998.0,,,True
2006-01-07,East Midlands,143553.0,,,True
2006-01-08,East Midlands,144201.0,,,True
2006-01-09,East Midlands,142806.0,,,True
2006-01-10,East Midlands,144280.0,,,True
2006-01-11,East Midlands,144542.0,,,True
2006-01-12,East Midlands,146212.0,,,True
2006-02-01,East Midlands,,549.0,,True
2006-03-01,East Midlands,,550.0,,True
2006-04-01,East Midlands,,550.0,,True
2006-05-01,East Midlands,,550.0,,True
2006-06-01,East Midlands,,551.0,,True
2006-07-01,East Midlands,,551.0,,True
2006-08-01,East Midlands,,552.0,,True
2006-09-01,East Midlands,,552.0,,True
2006-10-01,East Midlands,,553.0,,True
2006-11-01,East Midlands,,553.0,,True
2006-12-01,East Midlands,,554.0,,True
2007-01-01,East Midlands,145749.0,554.0,4.435854715094968,True
2007-01-02,East Midlands,146373.0,,,True
2007-01-03,East Midlands,146938.0,,,True
2007-01-04,East Midlands,148340.0,,,True
2007-01-05,East Midlands,148733.0,,,True
2007-01-06,East Midlands,150425.0,,,True
2007-01-07,East Midlands,152049.0,,,True
2007-01-08,East Midlands,153128.0,,,True
2007-01-09,East Midlands,153623.0,,,True
2007-01-10,East Midlands,151721.0,,,True
2007-01-11,East Midlands,152106.0,,,True
2007-01-12,East Midlands,151415.0,,,True
2007-02-01,East Midlands,,555.0,,True
2007-03-01,East Midlands,,555.0,,True
2007-04-01,East Midlands,,555.0,,True
2007-05-01,East Midlands,,556.0,,True
2007-06-01,East Midlands,,556.0,,True
2007-07-01,East Midlands,,557.0,,True
2007-08-01,East Midlands,,557.0,,True
2007-09-01,East Midlands,,558.0,,True
2007-10-01,East Midlands,,558.0,,True
2007-11-01,East Midlands,,559.0,,True
2007-12-01,East Midlands,,559.0,,True
2008-01-01,East Midlands,147391.0,560.0,4.749982486617716,True
2008-01-02,East Midlands,147361.0,,,True
2008-01-03,East Midlands,146597.0,,,True
2008-01-04,East Midlands,146797.0,,,True
2008-01-05,East Midlands,146487.0,,,True
2008-01-06,East Midlands,145927.0,,,True
2008-01-07,East Midlands,145373.0,,,True
2008-01-08,East Midlands,140774.0,,,True
2008-01-09,East Midlands,137306.0,,,True
2008-01-10,East Midlands,134959.0,,,True
2008-01-11,East Midlands,129901.0,,,True
2008-01-12,East Midlands,129828.0,,,True
2008-02-01,East Midlands,,560.0,,True
2008-03-01,East Midlands,,561.0,,True
2008-04-01,East Midlands,,561.0,,True
2008-05-01,East Midlands,,561.0,,True
2008-06-01,East Midlands,,562.0,,True
2008-07-01,East Midlands,,562.0,,True
2008-08-01,East Midlands,,563.0,,True
2008-09-01,East Midlands,,563.0,,True
2008-10-01,East Midlands,,564.0,,True
2008-11-01,East Midlands,,564.0,,True
2008-12-01,East Midlands,,565.0,,True
2009-01-01,East Midlands,126834.0,565.0,5.256029470312558,True
2009-01-02,East Midlands,125062.0,,,True
2009-01-03,East Midlands,125099.0,,,True
2009-01-04,East Midlands,125539.0,,,True
2009-01-05,East Midlands,125063.0,,,True
2009-01-06,East Midlands,128177.0,,,True
2009-01-07,East Midlands,129273.0,,,True
2009-01-08,East Midlands,131288.0,,,True
2009-01-09,East Midlands,131430.0,,,True
2009-01-10,East Midlands,133220.0,,,True
2009-01-11,East Midlands,133403.0,,,True
2009-01-12,East Midlands,135375.0,,,True
2009-02-01,East Midlands,,566.0,,True
2009-03-01,East Midlands,,566.0,,True
2009-04-01,East Midlands,,567.0,,True
2009-05-01,East Midlands,,567.0,,True
2009-06-01,East Midlands,,568.0,,True
2009-07-01,East Midlands,,568.0,,True
2009-08-01,East Midlands,,569.0,,True
2009-09-01,East Midlands,,569.0,,True
2009-10-01,East Midlands,,569.0,,True
2009-11-01,East Midlands,,570.0,,True
2009-12-01,East Midlands,,570.0,,True
2010-01-01,East Midlands,131404.0,571.0,5.06612527502166,True
2010-01-02,East Midlands,134427.0,,,True
2010-01-03,East Midlands,132747.0,,,True
2010-01-04,East Midlands,134281.0,,,True
2010-01-05,East Midlands,136505.0,,,True
2010-01-06,East Midlands,136874.0,,,True
2010-01-07,East Midlands,137673.0,,,True
2010-01-08,East Midlands,138671.0,,,True
2010-01-09,East Midlands,136820.0,,,True
2010-01-10,East Midlands,135867.0,,,True
2010-01-11,East Midlands,134748.0,,,True
2010-01-12,East Midlands,133946.0,,,True
2010-02-01,East Midlands,,571.0,,True
2010-03-01,East Midlands,,572.0,,True
2010-04-01,East Midlands,,572.0,,True
2010-05-01,East Midlands,,573.0,,True
2010-06-01,East Midlands,,573.0,,True
2010-07-01,East Midlands,,574.0,,True
2010-08-01,East Midlands,,574.0,,True
2010-09-01,East Midlands,,575.0,,True
2010-10-01,East Midlands,,575.0,,True
2010-11-01,East Midlands,,576.0,,True
2010-12-01,East Midlands,,576.0,,True
2011-01-01,East Midlands,131361.0,577.0,5.21340626015108,True
2011-01-02,East Midlands,132133.0,,,True
2011-01-03,East Midlands,131333.0,,,True
2011-01-04,East Midlands,132018.0,,,True
2011-01-05,East Midlands,132368.0,,,True
2011-01-06,East Midlands,132685.0,,,True
2011-01-07,East Midlands,134868.0,,,True
2011-01-08,East Midlands,135410.0,,,True
2011-01-09,East Midlands,133771.0,,,True
2011-01-10,East Midlands,132402.0,,,True
2011-01-11,East Midlands,132729.0,,,True
2011-01-12,East Midlands,133580.0,,,True
2011-02-01,East Midlands,,577.0,,True
