region,date,nominal_house_price,real_house_price,fair_value_real,fair_value_nominal,fair_value_gap_log,fair_value_gap_lower_90,fair_value_gap_upper_90,mortgage_rate_lag3,financial_stress_excess_lag3,transaction_growth,earnings_growth_12m_lag1,price_growth
East Midlands,2005-01-01,130266.0,167992.387012987,175209.1026851943,135862.043371198,-0.042061470140748014,-0.18090859767420805,0.09678565739271203,,,,,
East Midlands,2005-02-01,131704.0,169406.82901554403,175587.21438860823,136508.89175025735,-0.03583277318523592,-0.17467990071869596,0.10301435434822412,,,,,0.008384431388519
East Midlands,2005-03-01,132038.0,169179.01161290324,174797.7383566005,136423.20969422493,-0.032672130037420644,-0.17151925757088068,0.1061749974960394,,,,,-0.0013456997291889
East Midlands,2005-04-01,133495.0,170386.29177377894,175029.49337749789,137132.8759795502,-0.026886329486849547,-0.1657334570203096,0.1119607980466105,5.95,0.0,,,0.0071107691852496
East Midlands,2005-05-01,135007.0,171654.22663252242,175237.42715865534,137825.20706033212,-0.02065963787093139,-0.15950676540439143,0.11818748966252865,5.95,0.0,,,0.0074139793293301
East Midlands,2005-06-01,134528.0,171045.20358514728,175559.85527664615,138078.79856098755,-0.026052170447108836,-0.16489929798056888,0.1127949570863512,5.95,0.0,,,-0.0035542731315896
East Midlands,2005-07-01,136194.0,172941.99744245523,175640.18924523547,138318.86000984305,-0.015481259772371914,-0.15432838730583195,0.12336586776108813,5.95,0.0,,,0.0110283933615633
East Midlands,2005-08-01,137235.0,173819.33035714284,175523.00615109122,138580.09750499047,-0.009753695000119578,-0.14860082253357962,0.12909343253334046,5.95,0.0,,,0.0050601651128907
East Midlands,2005-09-01,136141.0,171994.92748091603,175444.17970218198,138871.22381260325,-0.019855942949137173,-0.1587030704825972,0.11899118458432287,5.95,0.0,,,-0.0105514435058218
East Midlands,2005-10-01,137315.0,173257.68106734433,175818.8696103849,139344.86443441382,-0.014674342906449311,-0.15352147043990935,0.12417278462701073,5.95,0.0,,,0.0073149872637348
East Midlands,2005-11-01,137311.0,173252.6340533672,176020.89255234128,139504.97727965016,-0.015851853951033945,-0.15469898148449399,0.1229952735824261,5.95,0.0,,,-2.91305266095776e-05
East Midlands,2005-12-01,137021.0,172448.48288973383,175917.22831637418,139777.13307313115,-0.019915048806376845,-0.15876217633983689,0.1189320787270832,5.7,0.0,,,-0.004652299773614
East Midlands,2006-01-01,135237.0,171070.49808917198,177883.3515921523,140622.7905335746,-0.03905226626651981,-0.17789939379997985,0.09979486126694023,5.7,0.0,,,-0.008022800881811
East Midlands,2006-02-01,135594.0,170869.0888324873,177153.8584239836,140581.30960533643,-0.03612091069473777,-0.17496803822819781,0.10272621683872227,5.7,0.0,,0.0189592878161433,-0.0011780401432339
East Midlands,2006-03-01,136176.0,171385.00380228137,177275.9368300836,140856.71113689424,-0.03379497385696517,-0.1726421013904252,0.10505215367649487,5.7,0.0,,0.0177165726190573,0.0030148090068866
East Midlands,2006-04-01,140034.0,175130.68261964733,176352.55747082183,141011.00768563198,-0.006952705756253508,-0.14579983328971355,0.13189442177720653,5.7,0.0,0.1462179198559208,0.020376535685721,0.021619943131272
East Midlands,2006-05-01,139736.0,173664.3904881101,175575.4311249708,141273.68526571168,-0.010944111140259949,-0.14979123867372,0.1279030163932001,5.7,0.0,0.2431066681313851,0.0178759623277717,-0.0084078066601858
East Midlands,2006-06-01,140998.0,174795.2734082397,174991.42942843647,141156.22857218288,-0.0011215751723465672,-0.1399687027058066,0.13772555236111347,5.7,0.0,0.3021215043394407,0.0154066852571559,0.0064907764522299
East Midlands,2006-07-01,143553.0,178185.16125,175473.05295670129,141368.01849482482,0.015337754657021918,-0.12350937287643812,0.15418488219048196,5.7,0.0,0.1665584114317528,0.0128713377284241,0.0192078185103135
East Midlands,2006-08-01,144201.0,178098.99626865672,174924.40183121414,141630.63350684408,0.017985663452536826,-0.12086146408092321,0.15683279098599687,5.7,0.0,0.2348654708520179,0.015435938330675,-0.000483686861763
East Midlands,2006-09-01,142806.0,176156.96645962732,174904.35211132758,141790.53721008933,0.007136187314479514,-0.13171094021898053,0.14598331484793955,5.7,0.0,0.1780707455203787,0.0129681205879166,-0.0109641020496358
East Midlands,2006-10-01,144280.0,177754.39205955336,175158.4965853907,142172.95896054874,0.014711518770745613,-0.12413560876271443,0.15355864630420565,5.7,0.0,0.2417287630402385,0.0142906673799121,0.0090273251177492
East Midlands,2006-11-01,144542.0,177636.39356435643,175092.9776903977,142472.4330048755,0.014421594362268308,-0.12442553317119173,0.15326872189572835,5.7,0.0,0.2313411219465095,0.0143210873261809,-0.0006640492905631
East Midlands,2006-12-01,146212.0,178583.6605166052,173918.79226922643,142392.7272053183,0.026468698613474118,-0.11237842891998592,0.16531582614693416,5.95,0.0,0.1617021276595744,0.0118103915654723,0.0053184495047613
East Midlands,2007-01-01,145749.0,179564.2146401985,175853.1028340968,142736.75819162338,0.020883882140470433,-0.11796324539298961,0.15973100967393047,5.95,0.0,0.1619433198380566,-0.0091119567564893,0.0054757078940621
East Midlands,2007-02-01,146373.0,179442.45555555556,174766.0314777947,142558.39425681139,0.026406458260703758,-0.11244066927275628,0.1652535857941638,5.95,0.0,0.1029126213592233,-0.0055733713903886,-0.0006783110143615
East Midlands,2007-03-01,146938.0,179249.9189189189,173778.43828979804,142452.81849737727,0.030999882482261043,-0.107847245051199,0.16984701001572108,6.2,0.0,0.0524578463734499,-0.006702530823991,-0.0010735475233349
East Midlands,2007-04-01,148340.0,180516.6911764706,173900.85166617818,142903.41889184428,0.037337926593400184,-0.10150920094005986,0.17618505412686022,6.2,0.0,0.0387901404301287,-0.0103292639349213,0.0070422182450311
East Midlands,2007-05-01,148733.0,180552.40709046455,173947.09195938415,143291.7635677505,0.03726989584559348,-0.10157723168786656,0.17611702337905352,6.45,0.0,0.0388829975256275,-0.0064986215943525,0.0001978342332904
East Midlands,2007-06-01,150425.0,182161.00609756095,173422.1034746581,143208.58494382643,0.04916241765179841,-0.08968470988166163,0.18800954518525845,6.45,0.0,-0.0048878027105088,-0.0026867110011709,0.0088698652705208
East Midlands,2007-07-01,152049.0,185257.24785276077,175384.6645079191,143946.12444506955,0.05476374354618052,-0.08408338398727952,0.19361087107964056,6.45,0.0,0.0233853006681514,-0.0026288675001759,0.016854443228814
East Midlands,2007-08-01,153128.0,185887.6577017115,174307.8593324455,143588.95159510616,0.06431945804236427,-0.07452766949109577,0.20316658557582432,6.45,0.0,0.034876683310637,0.0022371773318392,0.00339711226413
East Midlands,2007-09-01,153623.0,186260.85347985345,174425.80804331042,143861.76917167296,0.06564864685280192,-0.07319848068065812,0.20449577438626196,6.7,0.0,-0.1390180471274332,0.0035542983167189,0.0020056288929222
East Midlands,2007-10-01,151721.0,183060.69623329284,173875.18152457933,144108.03060899174,0.051480077018160486,-0.08736705051529955,0.19032720455162053,6.7,0.0,-0.09521523443751,0.0035756351007119,-0.0173303580232282
