region,horizon_months,percentile,historical_return_pct,simulated_return_pct,simulated_minus_historical_pct
East Midlands,60,p10,-7.1878885747613905,3.58,10.76788857476139
East Midlands,60,p25,9.472945521698994,9.3,-0.1729455216989937
East Midlands,60,p50,24.470171408758958,15.82,-8.650171408758958
East Midlands,60,p75,28.076236317056136,23.02,-5.056236317056136
East Midlands,60,p90,32.345666505413156,29.81,-2.5356665054131575
East of England,60,p10,-0.660494191694225,-5.7,-5.039505808305775
East of England,60,p25,12.890724610449755,3.04,-9.850724610449756
East of England,60,p50,18.526181175424348,13.38,-5.146181175424347
East of England,60,p75,27.98007870689463,25.0,-2.9800787068946306
East of England,60,p90,44.81804478866245,36.41,-8.408044788662451
London,60,p10,7.182958770663053,5.39,-1.792958770663053
London,60,p25,9.112050992312959,10.42,1.307949007687041
London,60,p50,16.527529939844364,16.09,-0.4375299398443637
London,60,p75,45.56779865463052,22.26,-23.30779865463052
London,60,p90,57.051650802390604,28.0,-29.051650802390604
North East,60,p10,-11.571032062569254,-8.39,3.181032062569253
North East,60,p25,-2.0238743455497366,-1.31,0.7138743455497365
North East,60,p50,8.44821522771233,7.02,-1.4282152277123306
North East,60,p75,20.267554687948564,16.32,-3.947554687948564
North East,60,p90,25.223322431600366,25.34,0.11667756839963417
North West,60,p10,-10.357545857418282,-4.19,6.167545857418282
North West,60,p25,3.4920043681800017,3.07,-0.42200436818000187
North West,60,p50,20.978765139957023,11.53,-9.448765139957024
North West,60,p75,31.13521039826026,21.0,-10.13521039826026
North West,60,p90,34.30710414040872,30.02,-4.287104140408719
Northern Ireland,60,p10,-39.80975612822915,6.09,45.89975612822914
Northern Ireland,60,p25,-14.998546728568174,12.16,27.158546728568176
Northern Ireland,60,p50,24.182942563509368,19.22,-4.962942563509369
Northern Ireland,60,p75,31.90499968790961,26.98,-4.924999687909608
Northern Ireland,60,p90,36.370299842824316,34.14,-2.2302998428243157
Scotland,60,p10,-2.665657156181542,3.82,6.485657156181542
Scotland,60,p25,4.780091166687206,6.8,2.019908833312794
Scotland,60,p50,16.26905583247833,10.11,-6.15905583247833
Scotland,60,p75,23.759074503561184,13.68,-10.079074503561184
Scotland,60,p90,27.540841741844527,16.94,-10.600841741844526
South East,60,p10,1.5339051294269896,-2.45,-3.98390512942699
South East,60,p25,12.319455428584236,5.05,-7.269455428584236
South East,60,p50,17.38103450399735,13.86,-3.521034503997349
South East,60,p75,26.62088288455504,23.57,-3.0508828845550404
South East,60,p90,40.54057150610447,32.98,-7.560571506104473
South West,60,p10,-3.1528172393541043,11.0,14.152817239354103
South West,60,p25,11.940065553301071,13.17,1.2299344466989286
South West,60,p50,20.62324449446016,15.55,-5.073244494460159
South West,60,p75,24.679327174984845,18.09,-6.589327174984845
South West,60,p90,29.38854364281279,20.4,-8.988543642812793
UK_12_region_average,60,p10,-7.6772554386699525,0.7233333333333333,8.400588772003285
UK_12_region_average,60,p25,,,
UK_12_region_average,60,p50,19.33304131082694,12.534166666666666,-6.798874644160273
UK_12_region_average,60,p75,,,
UK_12_region_average,60,p90,35.51183098189515,26.1125,-9.399330981895151
Wales,60,p10,-8.499665855584936,1.85,10.349665855584936
Wales,60,p25,4.016994669125018,5.56,1.5430053308749816
Wales,60,p50,19.259062996789368,9.73,-9.529062996789367
Wales,60,p75,30.004387064427185,14.15,-15.854387064427184
Wales,60,p90,34.87947154220664,18.27,-16.609471542206638
West Midlands,60,p10,-8.494297256400323,-1.28,7.2142972564003225
West Midlands,60,p25,6.896888823716307,4.4,-2.496888823716307
West Midlands,60,p50,26.378620670089937,11.04,-15.338620670089938
West Midlands,60,p75,30.471907517417463,18.33,-12.141907517417465
West Midlands,60,p90,34.19476986251218,25.12,-9.07476986251218
Yorkshire and The Humber,60,p10,-8.44477484193626,-1.04,7.40477484193626
Yorkshire and The Humber,60,p25,4.7564649336582665,2.78,-1.9764649336582667
Yorkshire and The Humber,60,p50,18.951671776901733,7.06,-11.891671776901735
Yorkshire and The Humber,60,p75,25.813409399085252,11.67,-14.143409399085252
Yorkshire and The Humber,60,p90,29.4816849759615,15.92,-13.5616849759615
