region,full_sample_beta,full_sample_se,full_sample_t,full_n,early_beta,early_se,early_t,early_n,late_beta,late_se,late_t,late_n,abs_late_early_ratio,flagged_unstable,note
East Midlands,-0.001465,0.000649,-2.257,250,-0.001898,0.001009,-1.88,117,-0.000859,0.000323,-2.66,133,0.452,False,stable
East of England,-0.001531,0.000743,-2.059,250,-0.002278,0.001174,-1.941,117,-0.001098,0.000419,-2.619,133,0.482,False,stable
London,-0.001165,0.000895,-1.301,250,-0.002795,0.001213,-2.304,117,-0.000523,0.000408,-1.282,133,0.187,False,stable
North East,-0.000533,0.000729,-0.731,250,-0.000704,0.001161,-0.607,117,-2.1e-05,0.000399,-0.052,133,0.029,False,early_denominator_near_zero
North West,-0.000938,0.000756,-1.241,250,-0.001116,0.001188,-0.939,117,-0.000371,0.000359,-1.034,133,0.332,False,early_denominator_near_zero
Northern Ireland,-0.000974,0.001957,-0.498,250,-0.001322,0.00331,-0.399,117,9.3e-05,0.000279,0.333,133,0.07,False,early_denominator_near_zero
Scotland,-0.000233,0.000788,-0.296,250,-0.000102,0.001414,-0.072,117,-0.000489,0.000397,-1.232,133,4.808,False,early_denominator_near_zero
South East,-0.001522,0.000787,-1.933,250,-0.00249,0.001249,-1.994,117,-0.001059,0.0004,-2.649,133,0.425,False,stable
South West,-0.001454,0.000673,-2.16,250,-0.00195,0.001161,-1.68,117,-0.001145,0.000289,-3.967,133,0.587,False,stable
Wales,-0.001222,0.000646,-1.892,250,-0.001358,0.001059,-1.283,117,-0.001028,0.000361,-2.846,133,0.757,False,stable
West Midlands,-0.001423,0.000607,-2.345,250,-0.001661,0.000991,-1.676,117,-0.000973,0.000263,-3.703,133,0.586,False,stable
Yorkshire and The Humber,-0.000942,0.000748,-1.259,250,-0.001321,0.001192,-1.108,117,-0.000334,0.000341,-0.978,133,0.253,False,stable
