region,horizon_months,historical_mean_pct,historical_median_pct,historical_p10_pct,historical_p90_pct,historical_prob_loss_10pct,simulated_median_pct,simulated_p10_pct,simulated_p90_pct,simulated_prob_loss_10pct,within_hist_10_90_band,tail_risk_gap
East Midlands,60,17.737654798312654,24.470171408758958,-7.1878885747613905,32.345666505413156,0.06735751295336788,15.82,3.58,29.81,0.0019,True,-0.06545751295336788
East of England,60,20.363251444378466,18.526181175424348,-0.660494191694225,44.81804478866245,0.0,13.38,-5.7,36.41,0.0535,True,0.0535
London,60,25.12689503556384,16.527529939844364,7.182958770663053,57.051650802390604,0.0,16.09,5.39,28.0,0.0002,True,0.0002
North East,60,7.945404141704846,8.44821522771233,-11.571032062569254,25.223322431600366,0.12435233160621761,7.02,-8.39,25.34,0.076,True,-0.048352331606217616
North West,60,15.898553952707099,20.978765139957023,-10.357545857418282,34.30710414040872,0.10362694300518134,11.53,-4.19,30.02,0.0367,True,-0.06692694300518134
Northern Ireland,60,8.90806008541649,24.182942563509368,-39.80975612822915,36.370299842824316,0.27979274611398963,19.22,6.09,34.14,0.0011,True,-0.27869274611398964
Scotland,60,13.79991156491313,16.26905583247833,-2.665657156181542,27.540841741844527,0.06217616580310881,10.11,3.82,16.94,0.0,True,-0.06217616580310881
South East,60,19.601378285225813,17.38103450399735,1.5339051294269896,40.54057150610447,0.0,13.86,-2.45,32.98,0.0263,True,0.0263
South West,60,16.825111333434545,20.62324449446016,-3.1528172393541043,29.38854364281279,0.0051813471502590676,15.55,11.0,20.4,0.0,True,-0.0051813471502590676
UK_12_region_average,60,16.215855539680835,19.33304131082694,-7.6772554386699525,35.51183098189515,0.0729706390328152,12.534166666666666,0.7233333333333333,26.1125,0.01755,True,-0.055420639032815196
Wales,60,15.793931679544281,19.259062996789368,-8.499665855584936,34.87947154220664,0.08290155440414508,9.73,1.85,18.27,0.0002,True,-0.08270155440414508
West Midlands,60,18.240123243221785,26.378620670089937,-8.494297256400323,34.19476986251218,0.07253886010362694,11.04,-1.28,25.12,0.0126,True,-0.05993886010362694
Yorkshire and The Humber,60,14.349990911747078,18.951671776901733,-8.44477484193626,29.4816849759615,0.07772020725388601,7.06,-1.04,15.92,0.0021,True,-0.075620207253886
