scenario,region,median_5yr_growth,p10_5yr_growth,p25_5yr_growth,p75_5yr_growth,p90_5yr_growth,prob_terminal_loss_10pct,prob_terminal_loss_5pct,p_normal_T60,p_stress_T60,p_boom_T60,mean_fs_T60,mean_rate_T60,mean_pstar_T60,p_star_base,alpha_used,r_bar,baseline_log_return_model,scenario_spread_pp
Baseline,East Midlands,11.33,5.56,8.28,14.57,17.5,0.0,0.0002,0.45,0.35,0.2,7.215,5.05,269217.39,255913.71,0.0,5.05,0.125,29.63
Rate_Shock,East Midlands,-3.73,-9.91,-7.01,-0.2,2.99,0.0967,0.3955,0.2,0.65,0.15,8.115,7.05,236563.3,255913.71,0.0,5.05,0.125,29.63
Recovery_Boom,East Midlands,25.9,20.34,22.96,29.02,31.81,0.0,0.0,0.25,0.15,0.6,6.665,3.3,310990.09,255913.71,0.0,5.05,0.125,29.63
Soft_Landing,East Midlands,19.61,14.02,16.65,22.74,25.56,0.0,0.0,0.55,0.2,0.25,6.865,3.8,291799.78,255913.71,0.0,5.05,0.125,29.63
Stagflation,East Midlands,0.79,-5.19,-2.38,4.18,7.24,0.0099,0.1075,0.18,0.67,0.15,7.915,6.05,244768.92,255913.71,0.0,5.05,0.125,29.63
Baseline,East of England,11.5,0.36,5.43,17.94,24.18,0.0051,0.0269,0.45,0.35,0.2,7.215,5.05,376550.5,362441.62,0.0,5.05,0.125,29.939999999999998
Rate_Shock,East of England,-3.99,-15.84,-10.49,2.99,9.84,0.2671,0.4573,0.2,0.65,0.15,8.115,7.05,331534.85,362441.62,0.0,5.05,0.125,29.939999999999998
Recovery_Boom,East of England,25.95,15.17,20.1,32.11,38.03,0.0,0.0002,0.25,0.15,0.6,6.665,3.3,433936.02,362441.62,0.0,5.05,0.125,29.939999999999998
Soft_Landing,East of England,19.8,8.97,13.92,26.01,32.0,0.0002,0.0005,0.55,0.2,0.25,6.865,3.8,407668.14,362441.62,0.0,5.05,0.125,29.939999999999998
Stagflation,East of England,0.68,-10.8,-5.6,7.4,13.96,0.1165,0.2704,0.18,0.67,0.15,7.915,6.05,342719.85,362441.62,0.0,5.05,0.125,29.939999999999998
Baseline,London,11.86,-1.55,4.55,19.83,27.39,0.0166,0.0511,0.45,0.35,0.2,7.215,5.05,647646.45,631820.09,0.0,5.05,0.163531,25.18
Rate_Shock,London,-1.57,-16.1,-9.54,7.27,15.79,0.2349,0.3861,0.2,0.65,0.15,8.115,7.05,579955.83,631820.09,0.0,5.05,0.163531,25.18
Recovery_Boom,London,23.61,10.89,16.71,31.05,38.05,0.0002,0.0005,0.25,0.15,0.6,6.665,3.3,728070.06,631820.09,0.0,5.05,0.163531,25.18
Soft_Landing,London,18.43,5.57,11.45,26.0,33.13,0.0006,0.0075,0.55,0.2,0.25,6.865,3.8,690520.59,631820.09,0.0,5.05,0.163531,25.18
Stagflation,London,1.74,-12.16,-5.87,10.11,18.14,0.1407,0.2742,0.18,0.67,0.15,7.915,6.05,593265.5,631820.09,0.0,5.05,0.163531,25.18
Baseline,North East,11.17,-0.76,4.84,18.26,24.83,0.0093,0.0405,0.45,0.35,0.2,7.215,5.05,175220.78,170437.44,0.0,5.05,0.110645,31.59
Rate_Shock,North East,-3.88,-16.59,-10.67,3.85,11.12,0.2723,0.4598,0.2,0.65,0.15,8.115,7.05,155097.41,170437.44,0.0,5.05,0.110645,31.59
Recovery_Boom,North East,27.71,15.97,21.5,34.6,40.94,0.0,0.0002,0.25,0.15,0.6,6.665,3.3,200732.05,170437.44,0.0,5.05,0.110645,31.59
Soft_Landing,North East,19.86,8.23,13.7,26.72,33.05,0.0002,0.0016,0.55,0.2,0.25,6.865,3.8,188389.83,170437.44,0.0,5.05,0.110645,31.59
Stagflation,North East,0.2,-12.05,-6.33,7.59,14.5,0.1459,0.2981,0.18,0.67,0.15,7.915,6.05,159966.48,170437.44,0.0,5.05,0.110645,31.59
Baseline,North West,11.33,-3.08,3.59,19.83,28.01,0.0259,0.0716,0.45,0.35,0.2,7.215,5.05,238121.13,223497.25,0.0,5.05,0.125,31.79
Rate_Shock,North West,-4.38,-19.59,-12.61,4.84,13.85,0.3249,0.4816,0.2,0.65,0.15,8.115,7.05,207745.6,223497.25,0.0,5.05,0.125,31.79
