region,C1_mispricing,C2_consumer,C2_reit,C3_regime,tail_penalty,consumer_score,consumer_band,reit_score,reit_band,score_label_mode,scenario_spread,pct_above_pstar,wtd_return_consumer,p_terminal_loss_10_avg,median_Baseline,median_Rate_Shock,median_Recovery_Boom,median_Soft_Landing,median_Stagflation,P_star_base,P_star_now,P_last_obs,kappa,gamma_annual,scoring_date,alpha_used,r_bar,r_current,regime_prob_normal,regime_prob_stress,regime_prob_boom,rate_channel_mode,valuation_gap_current,beta_rate,beta_financial_stress,earnings_staleness_months
East Midlands,64.4,70.5,78.6,24.4,4.9,74.2,Supportive,63.5,Supportive,descriptive_signal,34.0,-15.1,11.41,0.0486,15.82,-0.15,33.86,25.76,4.24,284584.29,284584.29,241497.0,0.4194,0.025,2026-01-01,0.0,5.05,5.05,0.35,0.4,0.25,rate_level_plus_aux_stress,-0.1642,-0.001046,-0.00089,13
East of England,64.0,66.3,73.5,32.1,11.8,70.9,Supportive,59.4,Supportive,descriptive_signal,30.8,-14.7,9.06,0.1178,13.38,-1.84,28.94,22.15,2.55,394442.86,394442.86,336455.0,0.2182,0.025,2026-01-01,0.0,5.05,5.05,0.35,0.4,0.25,rate_level_plus_aux_stress,-0.159,-0.001051,-0.000938,13
London,71.0,71.4,77.4,27.9,2.5,77.8,Supportive,65.5,Supportive,descriptive_signal,26.6,-22.1,11.91,0.0247,16.09,2.36,28.97,23.2,5.6,712001.06,712001.06,554422.0,0.2001,0.025,2026-01-01,0.0,5.05,5.05,0.35,0.4,0.25,rate_level_plus_aux_stress,-0.2502,-3e-06,-0.00132,13
North East,60.5,55.7,62.5,29.2,15.7,64.8,Supportive,59.5,Supportive,descriptive_signal,28.9,-11.1,3.17,0.1575,7.02,-6.61,22.34,15.02,-3.04,178010.28,178010.28,158295.0,0.4973,0.0221,2026-01-01,0.0,5.05,5.05,0.35,0.4,0.25,rate_level_plus_aux_stress,-0.1174,-0.00033,-0.000782,13
North West,61.2,62.9,70.3,30.7,11.5,68.6,Supportive,61.9,Supportive,descriptive_signal,31.9,-11.8,7.15,0.1153,11.53,-3.91,28.03,20.52,0.31,243210.58,243210.58,214443.0,0.3144,0.025,2026-01-01,0.0,5.05,5.05,0.35,0.4,0.25,rate_level_plus_aux_stress,-0.1259,-0.000725,-0.001017,13
Northern Ireland,60.3,79.0,84.9,35.0,1.6,76.4,Supportive,68.3,Supportive,descriptive_signal,24.6,-10.8,16.11,0.0157,19.22,8.02,32.57,26.46,10.69,219740.39,219740.39,195936.0,0.825,0.025,2026-01-01,0.0,5.05,5.05,0.35,0.4,0.25,rate_level_plus_aux_stress,-0.1147,-0.000368,-0.000347,13
Scotland,59.4,62.4,68.9,39.2,1.7,70.2,Supportive,66.4,Supportive,descriptive_signal,26.7,-9.8,6.89,0.0168,10.11,-2.14,24.53,18.32,1.61,208215.33,208215.33,187716.0,0.4675,0.025,2026-01-01,0.0,5.05,5.05,0.35,0.4,0.25,rate_level_plus_aux_stress,-0.1036,-0.001549,-0.000274,13
South East,65.3,67.2,74.1,33.0,9.1,72.3,Supportive,60.3,Supportive,descriptive_signal,30.2,-16.1,9.53,0.0915,13.86,-1.16,29.02,22.34,2.97,452450.1,452450.1,379532.0,0.2274,0.025,2026-01-01,0.0,5.05,5.05,0.35,0.4,0.25,rate_level_plus_aux_stress,-0.1757,-0.000771,-0.001075,13
South West,63.5,69.3,78.7,24.1,0.4,74.5,Supportive,63.8,Supportive,descriptive_signal,39.1,-14.2,10.74,0.004,15.55,-2.36,36.75,27.11,2.8,351260.5,351260.5,301518.0,0.4583,0.025,2026-01-01,0.0,5.05,5.05,0.35,0.4,0.25,rate_level_plus_aux_stress,-0.1527,-0.001394,-0.000828,13
Wales,56.2,60.7,67.2,32.6,4.8,67.5,Supportive,59.2,Supportive,descriptive_signal,27.9,-6.6,5.93,0.048,9.73,-4.0,23.92,17.95,0.24,224949.1,224949.1,210186.0,0.214,0.025,2026-01-01,0.0,5.05,5.05,0.35,0.4,0.25,rate_level_plus_aux_stress,-0.0679,-0.001534,-0.000685,13
West Midlands,59.1,64.2,68.9,36.3,5.6,69.7,Supportive,60.6,Supportive,descriptive_signal,20.8,-9.6,7.9,0.0557,11.04,0.3,21.09,16.82,3.37,257943.13,257943.13,233145.0,0.1311,0.025,2026-01-01,0.0,5.05,5.05,0.35,0.4,0.25,rate_level_plus_aux_stress,-0.1011,-0.000652,-0.000603,13
Yorkshire and The Humber,52.3,55.1,62.2,30.2,10.8,62.5,Supportive,55.9,Supportive,descriptive_signal,30.2,-2.4,2.85,0.1078,7.06,-7.63,22.62,15.52,-3.77,211595.22,211595.22,206470.0,0.3262,0.025,2026-01-01,0.0,5.05,5.05,0.35,0.4,0.25,rate_level_plus_aux_stress,-0.0245,-0.000538,-0.001151,13
